libID,lib.size,norm.factors,FULLIDNO,RSID,condition
RS102106_MEDIA,4575022.579,1.146246438,92527-1-02,RS102106,MEDIA
RS102531_TB,2776896.837,0.916195466,92527-1-08,RS102531,TB
RS102531_MEDIA,4258343.09,1.073278794,92527-1-08,RS102531,MEDIA
RS102306_TB,10101705.35,0.909641504,84437-1-02,RS102306,TB
RS102306_MEDIA,12415741.18,1.023636485,84437-1-02,RS102306,MEDIA
RS102087_TB,3571641.009,0.880401942,91587-1-04,RS102087,TB
RS102087_MEDIA,4642071.532,1.123349071,91587-1-04,RS102087,MEDIA
RS102244_TB,8695434.251,0.854413303,84457-1-02,RS102244,TB
RS102521_TB,8859096.079,0.773542233,91360-1-04,RS102521,TB
RS102244_MEDIA,10744983.79,1.021157988,84457-1-02,RS102244,MEDIA
RS102521_MEDIA,14509962.84,1.034990164,91360-1-04,RS102521,MEDIA
RS102340_TB,7368364.67,0.889282202,84317-1-03,RS102340,TB
RS102340_MEDIA,10601432.5,1.082688174,84317-1-03,RS102340,MEDIA
RS102548_TB,12858052.63,1.273441672,89902-1-07,RS102548,TB
RS102548_MEDIA,17242698.87,1.332383003,89902-1-07,RS102548,MEDIA
RS102106_TB,2935652.778,0.829407668,92527-1-02,RS102106,TB
RS102469_MEDIA,13666571.12,1.090186997,89448-1-04,RS102469,MEDIA
RS102469_TB,10536450.04,0.981236519,89448-1-04,RS102469,TB
RS102484_MEDIA,15120282.22,1.090477448,84427-1-02,RS102484,MEDIA
RS102484_TB,10270757.16,0.839015371,84427-1-02,RS102484,TB